site,site_name,date,participation
34,Stemmons Clinic,8/1/2020,
34,Stemmons Clinic,9/1/2020,
34,Stemmons Clinic,10/1/2020,
34,Stemmons Clinic,11/1/2020,
34,Stemmons Clinic,12/1/2020,
34,Stemmons Clinic,1/1/2021,
34,Stemmons Clinic,2/1/2021,
34,Stemmons Clinic,3/1/2021,
34,Stemmons Clinic,4/1/2021,
34,Stemmons Clinic,5/1/2021,
34,Stemmons Clinic,6/1/2021,
34,Stemmons Clinic,7/1/2021,
34,Stemmons Clinic,8/1/2021,
34,Stemmons Clinic,9/1/2021,
34,Stemmons Clinic,10/1/2021,
34,Stemmons Clinic,11/1/2021,
37,Abrams Road,10/1/2017,4371
37,Abrams Road,11/1/2017,4360
37,Abrams Road,12/1/2017,4274
37,Abrams Road,1/1/2018,4266
