Year,Month,Project,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Total_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,Total_Infants,Total_Children,Total_Participants,MtM_Caseload_Difference,Gen_Admin_Money,Date,Fiscal_Month,Local_Agency,Time_Shift,Fiscal_Year,FFF_Infants_Est
2018,9,29,16000,1060,360,1837,517,3774,152,2005,1477,3634,6203,13611,-94,204709.44,9/1/2018,Sep,LA 29,12/1/2018,FY18,215659.2317
2018,9,30,3750,263,37,307,250,857,11,352,508,871,1250,2978,11,41930.24,9/1/2018,Sep,LA 30,12/1/2018,FY18,74173.92667
2018,9,31,18900,1387,571,958,798,3714,210,1345,2064,3619,6993,14326,-66,183372.8,9/1/2018,Sep,LA 31,12/1/2018,FY18,301368.08
2018,9,33,48200,2598,814,2264,1869,7545,347,2845,4096,7288,15108,29941,-879,383244.8,9/1/2018,Sep,LA 33,12/1/2018,FY18,598063.7867
2018,9,34,4450,367,136,135,322,960,40,230,727,997,1502,3459,-25,48702.72,9/1/2018,Sep,LA 34,12/1/2018,FY18,106150.4817
2018,9,35,14500,679,264,905,429,2277,100,1090,1180,2370,3403,8050,-126,100464,9/1/2018,Sep,LA 35,12/1/2018,FY18,172293.7667
2018,9,36,9850,658,388,531,466,2043,142,787,1202,2131,3612,7786,-132,107135.36,9/1/2018,Sep,LA 36,12/1/2018,FY18,175506.0233
2018,9,37,5150,361,71,126,391,949,25,181,840,1046,1587,3582,49,58458.24,9/1/2018,Sep,LA 37,12/1/2018,FY18,122649.8
2018,9,38,5400,364,73,323,263,1023,25,398,586,1009,1526,3558,1,50096.64,9/1/2018,Sep,LA 38,12/1/2018,FY18,85562.83667
2018,9,39,29800,2224,614,2016,1385,6239,206,2541,3261,6008,12343,24590,-181,361964.8,9/1/2018,Sep,LA 39,12/1/2018,FY18,476144.045
2018,9,40,5100,336,52,277,336,1001,30,309,790,1129,1415,3545,57,49913.6,9/1/2018,Sep,LA 40,12/1/2018,FY18,115349.2167
2018,9,41,49350,2874,729,2551,2200,8354,299,3094,5129,8522,15328,32204,-155,370990.08,9/1/2018,Sep,LA 41,12/1/2018,FY18,748893.8383
2018,9,42,8600,457,302,515,305,1579,123,717,784,1624,2866,6069,-99,83509.44,9/1/2018,Sep,LA 42,12/1/2018,FY18,114473.1467
2018,9,43,1500,78,23,138,16,255,10,154,97,261,523,1039,-7,17288.96,9/1/2018,Sep,LA 43,12/1/2018,FY18,14163.13167
2018,9,44,2800,169,20,76,154,419,4,92,386,482,1192,2093,-16,33488,9/1/2018,Sep,LA 44,12/1/2018,FY18,56360.50333
2018,9,46,7600,429,129,441,325,1324,67,518,784,1369,1853,4546,46,62552.96,9/1/2018,Sep,LA 46,12/1/2018,FY18,114473.1467
2018,9,48,69700,3932,898,5680,2393,12903,316,6169,5896,12381,20235,45519,227,538944.96,9/1/2018,Sep,LA 48,12/1/2018,FY18,860884.7867
2018,9,49,1050,68,7,52,75,202,3,74,127,204,440,846,-6,14077.44,9/1/2018,Sep,LA 49,12/1/2018,FY18,18543.48167
2018,9,51,3400,254,65,183,204,706,26,223,457,706,1257,2669,43,37579.52,9/1/2018,Sep,LA 51,12/1/2018,FY18,66727.33167
