Date,Total_Participants,Total_Women,Total_Infants,Total_Children,Project,Year,Local_Agency,Month,Approved_Caseload,Pregnant_Women,Full_Breastfed_Women,Partial_Breastfed_Women,Postpartum_Women,Full_Breastfed_Infants,Partial_Breastfed_Infants,Full_Formula_Fed_Infants,MtM_Caseload_Difference,Gen_Admin_Money,Fiscal_Month,Time_Shift,Fiscal_Year,FFF_Infants_Est
2015-11-01,7309,1870,2045,3394,22,2015,LA 22,11,8050,733,167,381,589,175,347,1523,-129,97502.06,Nov,2016-02-01,FY16,222375.768333333
2015-11-01,4120,1140,955,2025,24,2015,LA 24,11,4550,405,36,576,123,43,563,349,-86,62788.8,Nov,2016-02-01,FY16,50958.0716666667
2015-11-01,71670,19620,17216,34834,26,2015,LA 26,11,84000,6580,981,9099,2960,1046,8765,7405,-633,819188.1,Nov,2016-02-01,FY16,1081216.39166667
2015-11-01,21629,5838,6158,9633,27,2015,LA 27,11,23700,2202,592,1152,1892,636,954,4568,-226,368774.45,Nov,2016-02-01,FY16,666981.293333333
2015-11-01,1940,485,460,995,28,2015,LA 28,11,2350,215,39,101,130,49,133,278,-16,25879.6,Nov,2016-02-01,FY16,40591.2433333333
2015-11-01,14360,3794,3528,7038,29,2015,LA 29,11,15100,1234,338,1655,567,363,1623,1542,9,214394.8,Nov,2016-02-01,FY16,225149.99
2015-11-01,3237,893,881,1463,30,2015,LA 30,11,3750,319,41,275,258,48,257,576,-30,45220.89,Nov,2016-02-01,FY16,84102.72
2015-11-01,16715,4378,4145,8192,31,2015,LA 31,11,18900,1607,636,1169,966,663,1095,2387,-331,212280.5,Nov,2016-02-01,FY16,348529.848333333
2015-11-01,7885,2072,1961,3852,32,2015,LA 32,11,8350,775,223,643,431,246,639,1076,-26,120246.25,Nov,2016-02-01,FY16,157108.553333333
2015-11-01,39322,9629,9162,20531,33,2015,LA 33,11,48200,3560,1139,2685,2245,1203,2855,5104,-304,499389.4,Nov,2016-02-01,FY16,745243.546666667
2015-11-01,3887,1117,1128,1642,34,2015,LA 34,11,4450,437,165,161,354,174,154,800,34,54301.39,Nov,2016-02-01,FY16,116809.333333333
2015-11-01,10331,2804,2796,4731,35,2015,LA 35,11,14500,894,340,985,585,353,984,1459,-227,121389.25,Nov,2016-02-01,FY16,213031.021666667
2015-11-01,8611,2225,2283,4103,36,2015,LA 36,11,9850,739,367,576,543,386,486,1411,-65,117626.26,Nov,2016-02-01,FY16,206022.461666667
2015-11-01,3918,1008,1163,1747,37,2015,LA 37,11,5150,381,73,139,415,85,121,957,-2,62217.84,Nov,2016-02-01,FY16,139733.165
2015-11-01,5030,1363,1265,2402,38,2015,LA 38,11,5400,459,100,518,286,107,365,793,-15,70269.1,Nov,2016-02-01,FY16,115787.251666667
2015-11-01,27506,7016,6722,13768,39,2015,LA 39,11,29800,2718,636,2047,1615,712,1863,4147,-48,401862.66,Nov,2016-02-01,FY16,605510.381666667
2015-11-01,4019,1164,1247,1608,40,2015,LA 40,11,5100,355,72,350,387,75,361,811,-165,56145.43,Nov,2016-02-01,FY16,118415.461666667
2015-11-01,40949,10444,10555,19950,41,2015,LA 41,11,49350,3759,823,3073,2789,866,2973,6716,-407,468047.07,Nov,2016-02-01,FY16,980614.353333333
2015-11-01,6687,1729,1743,3215,42,2015,LA 42,11,8600,554,301,540,334,320,510,913,-62,91344.42,Nov,2016-02-01,FY16,133308.651666667
2015-11-01,1154,299,319,536,43,2015,LA 43,11,1500,108,31,77,83,31,72,216,-7,19064.08,Nov,2016-02-01,FY16,31538.52
2015-11-01,2536,590,633,1313,44,2015,LA 44,11,2800,234,57,86,213,62,95,476,-9,40271.68,Nov,2016-02-01,FY16,69501.5533333333
2015-11-01,5932,1620,1570,2742,46,2015,LA 46,11,7600,571,210,527,312,217,404,949,-32,81031.12,Nov,2016-02-01,FY16,138565.071666667
2015-11-01,56610,15421,15154,26035,48,2015,LA 48,11,69700,4899,1057,6020,3445,1113,6226,7815,-236,647052.3,Nov,2016-02-01,FY16,1141081.175
2015-11-01,796,153,204,439,49,2015,LA 49,11,1050,80,5,5,63,5,53,146,8,13149.92,Nov,2016-02-01,FY16,21317.7033333333
2015-11-01,3308,870,871,1567,51,2015,LA 51,11,3400,352,80,128,310,84,162,625,7,46212.76,Nov,2016-02-01,FY16,91257.2916666667
2015-11-01,1198,337,325,536,53,2015,LA 53,11,1550,91,34,142,70,36,78,211,-46,19790.96,Nov,2016-02-01,FY16,30808.4616666667
2015-11-01,50261,13511,13303,23447,54,2015,LA 54,11,60900,4544,1185,4756,3026,1257,4338,7708,-505,590566.75,Nov,2016-02-01,FY16,1125457.92666667
2015-11-01,3510,925,957,1628,56,2015,LA 56,11,4750,350,134,207,234,144,236,577,-19,55738.8,Nov,2016-02-01,FY16,84248.7316666667
2015-11-01,3322,839,847,1636,58,2015,LA 58,11,3800,353,69,166,251,81,155,611,39,46408.34,Nov,2016-02-01,FY16,89213.1283333333
2015-11-01,3771,1051,959,1761,59,2015,LA 59,11,3850,442,71,318,220,77,308,574,10,47891.7,Nov,2016-02-01,FY16,83810.6966666667
2015-11-01,1252,323,323,606,60,2015,LA 60,11,1600,127,31,85,80,34,78,211,-45,20683.04,Nov,2016-02-01,FY16,30808.4616666667
2015-11-01,1881,438,496,947,61,2015,LA 61,11,2400,152,28,85,173,27,62,407,5,31074.12,Nov,2016-02-01,FY16,59426.7483333333
